"Wavelength (nm)"; "Transmittance (%)"
395,13; 81,9692
396,46; 81,3171
397,79; 81,213
399,11; 81,854
400,44; 81,7768
401,76; 81,2931
403,08; 81,4132
404,41; 81,3057
405,73; 80,8762
407,06; 81,7019
408,38; 82,2047
409,7; 81,7824
411,03; 80,8069
412,35; 81,1409
413,67; 81,631
414,99; 82,0324
416,31; 81,3388
417,64; 81,9387
418,96; 81,8443
420,28; 81,4366
421,6; 81,4327
422,92; 81,7113
424,24; 82,0689
425,56; 81,0453
426,88; 82,0379
428,2; 81,5687
429,52; 81,7075
430,84; 81,5891
432,16; 81,9125
433,48; 82,2068
434,8; 81,4409
436,12; 81,8883
437,44; 82,0148
438,75; 81,4351
440,07; 82,2594
441,39; 81,8325
442,71; 82,0621
444,02; 82,2421
445,34; 81,7248
446,66; 82,0176
447,98; 81,9957
449,29; 81,7982
450,61; 82,2458
451,92; 81,5244
453,24; 81,9175
454,55; 81,9143
455,87; 81,7373
457,18; 82,1616
458,5; 81,9626
459,81; 81,6033
461,13; 82,0827
462,44; 82,11
463,76; 81,6377
465,07; 82,2654
466,38; 81,6609
467,7; 81,7252
469,01; 82,2734
470,32; 81,824
471,63; 81,7836
472,95; 82,1554
474,26; 81,68
475,57; 81,7384
476,88; 82,371
478,19; 81,726
479,5; 81,6438
480,81; 82,1301
482,13; 81,6224
483,44; 81,556
484,75; 82,1587
486,06; 81,6414
487,37; 81,3785
488,67; 82,1471
489,98; 81,8122
491,29; 81,2461
492,6; 81,8694
493,91; 82,0382
495,22; 81,1711
496,53; 81,5463
497,83; 82,0795
499,14; 81,2952
500,45; 81,2136
501,76; 82,1592
503,06; 81,6459
504,37; 81,0791
505,68; 81,7932
506,98; 82,1368
508,29; 81,2612
509,6; 81,292
510,9; 82,2291
512,21; 81,7309
513,51; 81,0429
514,82; 81,8076
516,12; 82,228
517,42; 81,332
518,73; 81,1841
520,03; 82,1853
521,34; 82,0586
522,64; 80,9352
523,94; 81,4195
525,25; 82,2582
526,55; 81,649
527,85; 80,7925
529,15; 81,5588
530,46; 82,3146
531,76; 81,3347
533,06; 80,8018
534,36; 81,8144
535,66; 82,2404
536,96; 81,0502
538,26; 80,6182
539,56; 81,8622
540,87; 82,1421
542,17; 81,0308
543,47; 80,6249
544,76; 81,7701
546,06; 82,1849
547,36; 81,0862
548,66; 80,667
549,96; 81,7214
551,26; 82,2806
552,56; 81,1912
553,86; 80,5497
555,15; 81,4011
556,45; 82,2667
557,75; 81,5278
559,05; 80,5944
560,34; 81,2043
561,64; 82,3004
562,94; 82,0178
564,23; 80,8677
565,53; 80,9382
566,82; 82,3
568,12; 82,525
569,41; 81,4475
570,71; 80,7938
572; 81,7561
573,3; 82,8304
574,59; 82,074
575,89; 80,9928
577,18; 81,2105
578,47; 82,5654
579,77; 82,9
581,06; 81,7582
582,35; 80,8031
583,65; 81,8075
584,94; 82,9798
586,23; 82,7364
587,52; 81,4169
588,82; 81,1044
590,11; 82,328
591,4; 83,2568
592,69; 82,4583
593,98; 81,2657
595,27; 81,3236
596,56; 82,6149
597,85; 83,353
599,14; 82,4432
600,43; 81,2506
601,72; 81,4546
603,01; 82,8455
604,3; 83,4081
605,59; 82,4019
606,88; 81,2029
608,16; 81,3609
609,45; 82,7186
610,74; 83,5711
612,03; 82,7656
613,32; 81,3495
614,6; 81,2413
615,89; 82,6001
617,18; 83,5152
618,46; 82,9452
619,75; 81,6283
621,04; 81,0407
622,32; 82,063
623,61; 83,3673
624,89; 83,3605
626,18; 82,1211
627,46; 81,1804
628,75; 81,5676
630,03; 82,8994
631,32; 83,6663
632,6; 82,8236
633,88; 81,4203
635,17; 81,0659
636,45; 82,1106
637,73; 83,4333
639,02; 83,466
640,3; 82,2896
641,58; 81,2257
642,86; 81,3457
644,15; 82,5599
645,43; 83,6146
646,71; 83,266
647,99; 81,8332
649,27; 80,9853
650,55; 81,4034
651,83; 82,9203
653,11; 83,7652
654,39; 83,2018
655,67; 81,7948
656,95; 80,8798
658,23; 81,4555
659,51; 82,8249
660,79; 83,8449
662,07; 83,2292
663,35; 81,8042
664,63; 80,8816
665,91; 81,2793
667,18; 82,6747
668,46; 83,7727
669,74; 83,5396
671,02; 82,1566
672,29; 81,0474
673,57; 81,0014
674,85; 82,1884
676,12; 83,4632
677,4; 83,7257
678,67; 82,751
679,95; 81,3479
681,22; 80,8659
682,5; 81,611
683,77; 83,1464
685,05; 83,9195
686,32; 83,4111
687,6; 81,9745
688,87; 80,9149
690,15; 81,0266
691,42; 82,1498
692,69; 83,4555
693,97; 83,9404
695,24; 83,1313
696,51; 81,6228
697,78; 80,6989
699,05; 81,0875
700,33; 82,486
701,6; 83,6507
702,87; 83,8968
704,14; 82,8603
705,41; 81,5042
706,68; 80,7751
707,95; 81,1471
709,22; 82,3902
710,49; 83,6844
711,76; 83,9784
713,03; 83,0617
714,3; 81,6164
715,57; 80,7275
716,84; 80,9426
718,11; 82,1259
719,38; 83,5289
720,65; 84,0234
721,91; 83,3848
723,18; 82,0002
724,45; 80,8473
725,72; 80,6774
726,98; 81,5443
728,25; 82,9999
729,52; 83,9902
730,78; 83,7455
732,05; 82,663
733,32; 81,2561
734,58; 80,4842
735,85; 80,8513
737,11; 82,046
738,38; 83,3993
739,64; 83,993
740,91; 83,5032
742,17; 82,1552
743,44; 80,7822
744,7; 80,3462
745,96; 80,973
747,23; 82,2548
748,49; 83,6753
749,75; 83,9509
751,02; 83,3732
752,28; 82,1846
753,54; 80,9236
754,8; 80,4216
756,06; 80,9168
757,33; 82,1233
758,59; 83,3761
759,85; 83,9152
761,11; 83,4477
762,37; 82,2298
763,63; 80,8979
764,89; 80,282
766,15; 80,6591
767,41; 81,7567
768,67; 83,065
769,93; 83,8984
771,19; 83,7705
772,45; 82,7049
773,71; 81,4847
774,96; 80,3949
776,22; 80,2106
777,48; 80,9734
778,74; 82,4208
779,99; 83,6536
781,25; 84,106
782,51; 83,4612
783,77; 82,2865
785,02; 80,929
786,28; 80,2924
787,53; 80,3375
788,79; 81,2983
790,05; 82,5414
791,3; 83,6253
792,56; 83,9594
793,81; 83,2591
795,07; 82,1054
796,32; 80,7501
797,58; 79,9059
798,83; 80,1815
800,08; 81,1172
801,34; 82,4037
802,59; 83,6424
803,84; 83,9604
805,1; 83,5423
806,35; 82,3384
807,6; 81,0664
808,85; 80,0517
810,11; 79,879
811,36; 80,6545
812,61; 81,8353
813,86; 83,0914
815,11; 83,877
816,36; 83,7274
817,61; 82,8985
818,86; 81,6332
820,11; 80,4806
821,36; 79,8773
822,61; 80,0825
823,86; 81,101
825,11; 82,3348
826,36; 83,4544
827,61; 83,8155
828,86; 83,3619
830,11; 82,4928
831,35; 81,2295
832,6; 80,2045
833,85; 79,8428
835,1; 80,0721
836,34; 81,0457
837,59; 82,332
838,84; 83,4473
840,08; 84,006
841,33; 83,627
842,58; 82,632
843,82; 81,3299
845,07; 80,1798
846,31; 79,602
847,56; 79,7238
848,8; 80,5322
850,05; 81,8182
851,29; 83,0865
852,54; 83,9784
853,78; 83,8398
855,02; 83,0576
856,27; 81,8582
857,51; 80,7575
858,75; 79,8839
860; 79,7356
861,24; 80,0502
862,48; 81,1751
863,72; 82,2912
864,97; 83,3856
866,21; 83,992
867,45; 83,8189
868,69; 82,8977
869,93; 81,7492
871,17; 80,4604
872,41; 79,7199
873,65; 79,5687
874,89; 80,1262
876,13; 81,1101
877,37; 82,3804
878,61; 83,37
879,85; 83,8494
881,09; 83,8695
882,33; 83,0623
883,57; 81,9542
884,8; 80,7743
886,04; 79,9035
887,28; 79,5581
888,52; 79,8995
889,76; 80,7859
890,99; 81,6986
892,23; 82,9565
893,47; 83,8628
894,7; 84,2639
895,94; 83,4685
897,17; 82,621
898,41; 81,4452
899,65; 80,3495
900,88; 79,292
902,12; 79,4058
903,35; 79,8777
904,59; 80,8649
905,82; 82,1562
907,05; 83,2865
908,29; 84,0248
909,52; 84,0304
910,75; 83,7788
911,99; 82,8928
913,22; 81,4595
914,45; 80,3126
915,69; 79,7233
916,92; 79,4463
918,15; 79,8005
919,38; 80,8589
920,61; 81,9487
921,85; 83,2038
923,08; 84,2528
924,31; 84,4167
925,54; 83,9485
926,77; 82,9571
928; 81,9397
929,23; 80,7326
930,46; 79,8966
931,69; 79,6949
932,92; 79,4992
934,15; 80,0101
935,38; 81,104
936,6; 82,0755
937,83; 83,3314
939,06; 83,6716
940,29; 84,114
941,52; 83,7635
942,74; 82,9599
943,97; 81,9558
945,2; 80,7853
946,42; 80,0994
947,65; 79,5762
948,88; 79,5556
950,1; 80,0462
951,33; 81,0032
952,55; 82,3526
953,78; 83,1353
955,01; 83,9138
956,23; 84,4331
957,46; 84,2203
958,68; 83,462
959,9; 82,479
961,13; 81,21
962,35; 80,3088
963,58; 79,7032
964,8; 79,4505
966,02; 79,6104
967,24; 80,0802
968,47; 80,969
969,69; 82,3325
970,91; 83,6191
972,13; 83,9609
973,36; 84,2986
974,58; 84,0572
975,8; 83,3616
977,02; 82,1638
978,24; 81,2308
979,46; 79,9951
980,68; 79,14
981,9; 78,5898
983,12; 79,1815
984,34; 80,0463
985,56; 80,5199
986,78; 81,4302
988; 82,9575
989,22; 84,0497
990,44; 84,4708
991,65; 84,03
992,87; 83,4102
994,09; 82,9957
995,31; 81,4437
996,53; 80,3635
997,74; 79,6523
998,96; 79,4131
1000,18; 79,5706
1001,39; 79,7968
1002,61; 80,6602
1003,83; 80,9334
1005,04; 81,98
1006,26; 83,0352
1007,47; 83,6349
1008,69; 84,0016
1009,9; 83,291
1011,12; 84,0877
1012,33; 83,1383
1013,54; 82,8371
1014,76; 81,4812
1015,97; 79,8526
1017,19; 79,2452
1018,4; 78,7698
1019,61; 79,2333
1020,83; 79,665
1022,04; 79,7966
1023,25; 81,692
1024,46; 82,417
1025,67; 83,997
1026,89; 84,5023
1028,1; 84,7799
1029,31; 83,8175
1030,52; 83,8731
1031,73; 83,3419
1032,94; 81,7727
1034,15; 81,0959
1035,36; 79,3499
1036,57; 79,4098
1037,78; 77,9362
1038,99; 78,6838
1040,2; 78,9973
