"Wavelength (nm)"; "Transmittance (%)"
395,13; 81,6282
396,46; 80,9657
397,79; 82,1443
399,11; 82,0624
400,44; 81,3647
401,76; 82,5624
403,08; 82,7782
404,41; 81,34
405,73; 81,4847
407,06; 81,8334
408,38; 81,7303
409,7; 81,7938
411,03; 81,42
412,35; 81,6576
413,67; 82,0229
414,99; 82,0495
416,31; 81,6609
417,64; 81,9521
418,96; 82,0838
420,28; 81,8014
421,6; 82,132
422,92; 82,1821
424,24; 82,2469
425,56; 81,7408
426,88; 81,8293
428,2; 82,1195
429,52; 82,3707
430,84; 82,5868
432,16; 82,4511
433,48; 82,4342
434,8; 82,2498
436,12; 81,965
437,44; 82,1276
438,75; 81,9453
440,07; 82,027
441,39; 82,4928
442,71; 82,4561
444,02; 82,8521
445,34; 82,4654
446,66; 82,2529
447,98; 82,1589
449,29; 81,6918
450,61; 82,2748
451,92; 82,3234
453,24; 82,3672
454,55; 82,8503
455,87; 82,4087
457,18; 82,2734
458,5; 82,443
459,81; 82,1027
461,13; 82,2521
462,44; 82,1447
463,76; 82,3891
465,07; 82,6003
466,38; 82,8064
467,7; 82,8022
469,01; 83,1858
470,32; 82,5309
471,63; 82,1249
472,95; 82,3797
474,26; 81,9132
475,57; 82,0799
476,88; 82,9183
478,19; 82,7179
479,5; 82,9004
480,81; 83,2792
482,13; 82,8414
483,44; 82,4946
484,75; 82,7968
486,06; 82,1109
487,37; 81,9627
488,67; 82,3472
489,98; 82,2106
491,29; 82,1066
492,6; 82,9573
493,91; 82,9402
495,22; 82,5304
496,53; 83,0015
497,83; 82,8157
499,14; 81,6858
500,45; 82,058
501,76; 82,2138
503,06; 81,6544
504,37; 82,0513
505,68; 82,9348
506,98; 82,7775
508,29; 82,5702
509,6; 83,0188
510,9; 83,0865
512,21; 82,2048
513,51; 81,9634
514,82; 82,5477
516,12; 81,7912
517,42; 81,3708
518,73; 82,2832
520,03; 82,7496
521,34; 82,2031
522,64; 82,455
523,94; 83,3114
525,25; 83,3021
526,55; 82,3309
527,85; 82,6204
529,15; 83,076
530,46; 82,1829
531,76; 81,382
533,06; 81,9285
534,36; 82,466
535,66; 81,734
536,96; 81,6982
538,26; 82,8953
539,56; 83,302
540,87; 82,76
542,17; 82,3218
543,47; 83,1541
544,76; 83,3049
546,06; 82,1906
547,36; 81,426
548,66; 82,3608
549,96; 82,6229
551,26; 81,3328
552,56; 81,3115
553,86; 82,6672
555,15; 82,8883
556,45; 82,3287
557,75; 82,1901
559,05; 82,9352
560,34; 83,7678
561,64; 82,858
562,94; 81,8942
564,23; 82,3803
565,53; 83,1177
566,82; 82,2184
568,12; 81,0358
569,41; 81,3869
570,71; 82,5949
572; 82,6532
573,3; 82,0264
574,59; 81,9984
575,89; 83,2962
577,18; 83,9437
578,47; 83,3579
579,77; 82,2724
581,06; 82,6665
582,35; 83,575
583,65; 83,5489
584,94; 82,1492
586,23; 81,3274
587,52; 82,3336
588,82; 83,2121
590,11; 82,6385
591,4; 81,563
592,69; 82,0759
593,98; 83,2811
595,27; 83,9901
596,56; 83,2898
597,85; 82,4891
599,14; 82,7821
600,43; 83,8332
601,72; 84,1599
603,01; 83,0078
604,3; 81,9004
605,59; 82,1753
606,88; 83,1446
608,16; 83,2765
609,45; 82,1177
610,74; 81,2854
612,03; 81,8973
613,32; 83,1056
614,6; 83,444
615,89; 82,4785
617,18; 81,9971
618,46; 82,5783
619,75; 83,7921
621,04; 84,251
622,32; 83,4163
623,61; 81,9294
624,89; 81,9164
626,18; 82,9672
627,46; 83,8435
628,75; 83,2472
630,03; 81,9467
631,32; 81,2398
632,6; 82,0781
633,88; 83,4542
635,17; 83,5774
636,45; 82,3708
637,73; 81,4889
639,02; 82,0508
640,3; 83,2851
641,58; 84,3541
642,86; 83,9334
644,15; 82,6892
645,43; 82,2652
646,71; 82,55
647,99; 83,7826
649,27; 84,2026
650,55; 83,4156
651,83; 82,0185
653,11; 81,4003
654,39; 82,0931
655,67; 83,1641
656,95; 83,4403
658,23; 82,553
659,51; 81,3869
660,79; 81,0563
662,07; 82,5412
663,35; 83,974
664,63; 84,0877
665,91; 82,9986
667,18; 81,9345
668,46; 82,0083
669,74; 83,0557
671,02; 84,1608
672,29; 84,6163
673,57; 83,6117
674,85; 82,5365
676,12; 81,5333
677,4; 82,1584
678,67; 83,0874
679,95; 83,687
681,22; 83,0136
682,5; 81,5597
683,77; 80,842
685,05; 80,9163
686,32; 82,3848
687,6; 83,6561
688,87; 83,3634
690,15; 82,3268
691,42; 81,4967
692,69; 81,6754
693,97; 82,7674
695,24; 83,9262
696,51; 84,3777
697,78; 84,1069
699,05; 82,8538
700,33; 82,0587
701,6; 81,9696
702,87; 82,5665
704,14; 83,7325
705,41; 83,9691
706,68; 83,4975
707,95; 82,0566
709,22; 81,0431
710,49; 80,787
711,76; 82,0279
713,03; 83,4971
714,3; 83,9697
715,57; 82,9869
716,84; 81,5349
718,11; 80,8089
719,38; 81,3149
720,65; 82,2816
721,91; 83,6457
723,18; 84,0724
724,45; 83,9038
725,72; 83,0049
726,98; 81,7718
728,25; 81,7875
729,52; 82,2783
730,78; 83,3932
732,05; 84,3136
733,32; 84,3131
734,58; 83,417
735,85; 81,9659
737,11; 81,007
738,38; 80,6757
739,64; 81,6729
740,91; 82,8119
742,17; 83,7129
743,44; 83,2412
744,7; 82,0738
745,96; 80,8136
747,23; 80,3829
748,49; 80,9465
749,75; 82,5123
