"Wavelength (nm)"; "Transmittance (%)"
395,13; 83,2912
396,46; 83,4702
397,79; 83,816
399,11; 83,4458
400,44; 83,2437
401,76; 83,0444
403,08; 84,0927
404,41; 83,0574
405,73; 83,4092
407,06; 84,2447
408,38; 83,0437
409,7; 83,4076
411,03; 83,0753
412,35; 83,688
413,67; 83,5103
414,99; 83,2637
416,31; 83,4204
417,64; 83,3531
418,96; 83,15
420,28; 82,9149
421,6; 83,2907
422,92; 83,5447
424,24; 83,5681
425,56; 83,7837
426,88; 83,5095
428,2; 84,1877
429,52; 83,4006
430,84; 83,1813
432,16; 83,639
433,48; 83,3962
434,8; 83,6448
436,12; 82,8325
437,44; 83,8573
438,75; 83,22
440,07; 83,5807
441,39; 83,7865
442,71; 83,6719
444,02; 84,0474
445,34; 84,098
446,66; 83,6845
447,98; 84,1193
449,29; 83,34
450,61; 83,5197
451,92; 83,8571
453,24; 83,2615
454,55; 83,776
455,87; 83,216
457,18; 83,5391
458,5; 83,8743
459,81; 83,5964
461,13; 83,851
462,44; 84,0646
463,76; 83,622
465,07; 83,8495
466,38; 84,2773
467,7; 83,5555
469,01; 84,2402
470,32; 84,1012
471,63; 83,2437
472,95; 83,7357
474,26; 83,5277
475,57; 83,0931
476,88; 84,0801
478,19; 83,7181
479,5; 83,2833
480,81; 83,9399
482,13; 83,8299
483,44; 83,6434
484,75; 84,0668
486,06; 84,0218
487,37; 83,6081
488,67; 83,8517
489,98; 84,017
491,29; 83,2304
492,6; 83,6098
493,91; 83,7383
495,22; 82,9801
496,53; 83,1425
497,83; 83,8774
499,14; 82,8865
500,45; 82,8811
501,76; 83,592
503,06; 83,2122
504,37; 83,0606
505,68; 83,8767
506,98; 83,9948
508,29; 83,2673
509,6; 83,5277
510,9; 84,1419
512,21; 83,8396
513,51; 83,15
514,82; 83,6957
516,12; 84,0978
517,42; 82,9496
518,73; 83,0716
520,03; 84,0098
521,34; 83,4482
522,64; 82,4337
523,94; 83,1816
525,25; 83,8184
526,55; 82,8077
527,85; 82,6747
529,15; 83,8782
530,46; 83,7555
531,76; 83,0056
533,06; 83,1636
534,36; 84,0903
535,66; 83,8316
536,96; 83,1477
538,26; 83,3353
539,56; 84,3515
540,87; 83,9461
