"Wavelength (nm)"; "Transmittance (%)"
395,13; 82,5277
396,46; 82,5172
397,79; 82,0553
399,11; 83,4354
400,44; 82,8443
401,76; 83,0352
403,08; 82,8802
404,41; 82,5652
405,73; 82,4883
407,06; 83,0783
408,38; 82,9007
409,7; 83,4012
411,03; 82,5839
412,35; 82,9917
413,67; 83,0688
414,99; 82,5285
416,31; 83,0165
417,64; 82,9656
418,96; 83,1454
420,28; 82,9104
421,6; 83,2016
422,92; 83,7043
424,24; 83,0084
425,56; 83,1665
426,88; 82,9863
428,2; 83,2454
429,52; 83,2564
430,84; 82,8339
432,16; 83,5683
433,48; 83,2615
434,8; 83,706
436,12; 83,4652
437,44; 83,3536
438,75; 83,7727
440,07; 82,9717
441,39; 83,4847
442,71; 83,2567
444,02; 83,3497
445,34; 83,4681
446,66; 83,1234
447,98; 83,6765
449,29; 83,2835
450,61; 83,1485
451,92; 83,958
453,24; 83,3096
454,55; 83,5749
455,87; 83,4561
457,18; 82,9667
458,5; 83,5917
459,81; 83,5483
461,13; 83,0862
462,44; 83,4905
463,76; 83,6629
465,07; 83,131
466,38; 83,78
467,7; 83,5131
469,01; 83,4863
470,32; 84,0606
471,63; 83,355
472,95; 83,4008
474,26; 83,9236
475,57; 83,0559
476,88; 83,5258
478,19; 84,0876
479,5; 83,2817
480,81; 83,1381
482,13; 83,9533
483,44; 83,3062
484,75; 83,1123
486,06; 84,0495
487,37; 83,4058
488,67; 83,065
489,98; 83,9881
491,29; 83,391
492,6; 82,7614
493,91; 83,3985
495,22; 83,4377
496,53; 82,7416
497,83; 83,3167
499,14; 83,573
500,45; 82,8107
501,76; 82,8531
503,06; 83,8636
504,37; 83,335
505,68; 82,7615
506,98; 83,8733
508,29; 83,8531
509,6; 82,6866
510,9; 83,3026
512,21; 84,0211
513,51; 83,0601
514,82; 82,6631
516,12; 83,6001
517,42; 83,657
518,73; 82,8226
520,03; 82,8892
521,34; 83,9767
522,64; 83,379
523,94; 82,4196
525,25; 83,2807
526,55; 84,1179
527,85; 82,778
529,15; 82,4685
530,46; 83,8561
531,76; 84,0625
533,06; 82,6133
534,36; 82,7668
535,66; 83,9409
536,96; 83,5686
538,26; 82,5936
539,56; 82,8698
540,87; 83,9984
542,17; 83,7425
543,47; 82,6946
544,76; 82,5914
546,06; 84,0285
547,36; 83,7405
548,66; 82,1291
549,96; 82,6682
551,26; 84,062
552,56; 83,7069
553,86; 82,1565
555,15; 82,3678
556,45; 83,9529
557,75; 83,7629
559,05; 82,2848
560,34; 82,6298
561,64; 83,6913
562,94; 84,1308
564,23; 83,1118
565,53; 82,6082
566,82; 83,1811
568,12; 84,1703
569,41; 83,8646
570,71; 82,5548
572; 82,5778
573,3; 84,1934
574,59; 84,4306
575,89; 82,6755
577,18; 81,9701
578,47; 83,6298
579,77; 84,6855
581,06; 83,2444
582,35; 82,067
583,65; 82,9987
584,94; 84,6216
586,23; 84,168
587,52; 83,1815
588,82; 82,8782
590,11; 83,7026
591,4; 84,6541
592,69; 84,5199
593,98; 83,6532
595,27; 83,0028
596,56; 83,6397
597,85; 84,9311
599,14; 84,5663
600,43; 82,8291
601,72; 82,2155
603,01; 83,5663
604,3; 85,152
605,59; 83,9674
606,88; 81,9076
608,16; 82,0618
609,45; 83,9428
610,74; 84,7644
612,03; 83,4383
613,32; 82,1548
614,6; 82,7231
615,89; 84,0977
617,18; 84,7082
618,46; 84,2078
619,75; 83,4192
621,04; 82,8899
622,32; 83,6067
623,61; 84,3633
624,89; 84,912
626,18; 84,1086
627,46; 82,7035
628,75; 82,5002
630,03; 84,3424
631,32; 85,3514
632,6; 84,3729
633,88; 82,1409
635,17; 81,3067
636,45; 83,0216
637,73; 84,8889
639,02; 84,5022
640,3; 82,0805
641,58; 81,301
642,86; 82,644
644,15; 84,5882
645,43; 84,9244
646,71; 83,472
647,99; 82,4138
649,27; 82,8804
650,55; 84,0032
651,83; 85,0011
653,11; 85,091
654,39; 84,558
655,67; 83,6581
656,95; 83,1664
658,23; 83,4976
659,51; 84,5947
660,79; 85,3919
662,07; 84,9578
663,35; 83,1627
664,63; 81,6944
665,91; 82,1856
667,18; 84,3856
668,46; 85,3237
669,74; 84,0175
671,02; 81,4998
672,29; 80,641
673,57; 82,103
674,85; 84,3979
676,12; 84,8288
677,4; 83,6702
678,67; 81,4362
679,95; 81,0023
681,22; 82,1944
682,5; 84,2618
683,77; 85,1051
685,05; 84,4376
686,32; 83,4965
687,6; 82,9794
688,87; 83,1075
690,15; 83,7881
691,42; 84,7686
692,69; 85,298
693,97; 85,3735
695,24; 84,7186
696,51; 83,3465
697,78; 82,5114
699,05; 83,0176
700,33; 84,7013
701,6; 85,8122
702,87; 85,0168
704,14; 82,9296
705,41; 80,8962
706,68; 80,7399
707,95; 82,4035
709,22; 84,823
710,49; 85,3279
711,76; 83,3858
713,03; 81,1316
714,3; 79,9568
715,57; 80,8866
716,84; 82,7631
718,11; 84,8326
719,38; 85,0066
720,65; 83,2519
721,91; 81,7561
723,18; 81,3359
724,45; 82,6569
725,72; 84,4074
726,98; 84,9766
728,25; 85,3149
729,52; 84,4904
730,78; 84,0907
732,05; 83,63
733,32; 83,4764
734,58; 83,4929
735,85; 83,8706
737,11; 84,8953
738,38; 85,6731
739,64; 85,6799
740,91; 84,2016
742,17; 82,5148
743,44; 81,4059
744,7; 81,5858
745,96; 83,1749
747,23; 85,0622
748,49; 85,7137
749,75; 84,4515
751,02; 81,9186
752,28; 79,5303
753,54; 79,401
754,8; 81,0382
756,06; 83,5203
757,33; 85,3887
758,59; 84,7973
759,85; 82,7316
761,11; 80,5002
762,37; 79,8378
763,63; 80,7645
764,89; 82,4611
766,15; 84,6134
767,41; 85,169
768,67; 84,2114
769,93; 83,2219
771,19; 82,3018
772,45; 82,1407
773,71; 83,0367
774,96; 83,9533
776,22; 84,6897
777,48; 85,1946
778,74; 85,3544
779,99; 85,4396
781,25; 85,2705
782,51; 84,8498
783,77; 83,6911
785,02; 82,8196
786,28; 82,4949
787,53; 83,3828
788,79; 84,8286
790,05; 85,6738
791,3; 85,6196
792,56; 84,3503
793,81; 82,4211
795,07; 80,4161
796,32; 79,5748
797,58; 80,741
798,83; 82,3489
800,08; 84,1129
801,34; 85,1174
802,59; 84,1046
803,84; 81,5895
805,1; 79,2324
806,35; 78,3072
807,6; 78,6851
808,85; 80,5546
810,11; 82,7832
811,36; 84,7474
812,61; 84,6592
813,86; 83,2417
815,11; 81,4777
816,36; 80,2127
817,61; 80,0967
818,86; 81,1301
820,11; 82,4445
821,36; 84,3903
822,61; 85,1239
823,86; 85,1526
825,11; 84,6374
826,36; 83,5956
827,61; 83,6043
828,86; 83,5096
830,11; 83,565
831,35; 83,6606
832,6; 83,9193
833,85; 83,8035
835,1; 84,4027
836,34; 85,5478
837,59; 86,4595
838,84; 85,8939
840,08; 85,0004
841,33; 83,8351
842,58; 82,3176
843,82; 81,2946
845,07; 81,1615
846,31; 81,6289
847,56; 83,0204
848,8; 84,8938
850,05; 85,8682
851,29; 84,708
852,54; 83,0578
853,78; 80,3445
855,02; 78,4043
856,27; 77,4429
857,51; 78,3856
858,75; 80,0867
860; 82,2097
861,24; 83,6521
862,48; 84,5399
863,72; 83,9463
864,97; 81,7897
866,21; 79,2103
867,45; 77,6979
868,69; 77,4154
869,93; 78,4128
871,17; 80,3951
872,41; 82,6806
873,65; 84,2254
874,89; 84,8648
876,13; 84,4771
877,37; 83,2568
878,61; 81,7564
879,85; 81,2099
881,09; 81,244
882,33; 81,5319
883,57; 82,6586
884,8; 83,7714
886,04; 84,8564
887,28; 85,3515
888,52; 85,4803
889,76; 85,2155
890,99; 85,009
892,23; 85,0336
893,47; 84,4942
894,7; 84,5649
895,94; 84,6748
897,17; 83,73
898,41; 83,0301
899,65; 82,4827
900,88; 82,9304
902,12; 83,888
903,35; 85,2174
904,59; 86,257
905,82; 86,7109
907,05; 86,0312
908,29; 84,2114
909,52; 82,6077
910,75; 80,3884
911,99; 79,1262
913,22; 78,5858
914,45; 79,1178
915,69; 80,9569
916,92; 83,1751
918,15; 84,8895
919,38; 85,3576
920,61; 85,0362
921,85; 83,5723
923,08; 81,0017
924,31; 78,7112
925,54; 77,3435
926,77; 76,6153
928; 77,049
929,23; 78,8467
930,46; 80,8856
931,69; 83,3919
932,92; 84,4321
934,15; 85,0717
935,38; 84,346
936,6; 83,1841
937,83; 80,2871
939,06; 79,394
940,29; 78,4874
941,52; 78,6337
942,74; 79,995
943,97; 81,6872
945,2; 83,3925
946,42; 84,9188
947,65; 85,7738
948,88; 85,311
950,1; 85,2293
951,33; 84,0468
952,55; 83,5831
953,78; 82,9614
955,01; 82,4666
956,23; 82,972
957,46; 83,4497
958,68; 83,4361
959,9; 84,0166
961,13; 84,0434
962,35; 84,5972
963,58; 84,9378
964,8; 85,7392
966,02; 85,6517
967,24; 86,2413
968,47; 86,7193
969,69; 86,9232
970,91; 86,3345
972,13; 85,4968
973,36; 84,1203
974,58; 82,9737
975,8; 81,4085
977,02; 80,9694
978,24; 80,9737
979,46; 81,559
980,68; 82,0434
981,9; 83,7274
983,12; 85,0968
984,34; 85,9556
985,56; 86,0076
986,78; 85,0477
988; 83,7991
989,22; 81,3811
990,44; 79,8571
991,65; 78,0169
992,87; 76,3752
994,09; 76,0176
995,31; 76,5215
996,53; 77,8205
997,74; 79,7646
998,96; 82,3061
1000,18; 84,1163
1001,39; 85,2152
1002,61; 84,7364
1003,83; 83,6156
1005,04; 81,923
1006,26; 79,7686
1007,47; 77,7543
1008,69; 77,0076
1009,9; 76,2183
1011,12; 76,6912
1012,33; 78,448
1013,54; 80,3739
1014,76; 82,1736
1015,97; 82,7724
1017,19; 84,7146
1018,4; 84,3743
1019,61; 84,383
1020,83; 84,8525
1022,04; 83,5065
1023,25; 82,0791
1024,46; 80,7753
1025,67; 80,7293
1026,89; 80,9402
1028,1; 80,8728
1029,31; 82,6351
1030,52; 82,6649
1031,73; 84,1664
1032,94; 84,3809
1034,15; 85,695
1035,36; 85,4016
1036,57; 86,0992
1037,78; 85,789
1038,99; 84,5163
1040,2; 84,1875
