"Wavelength (nm)"; "Transmittance (%)"
395,13; 82,0156
396,46; 82,0358
397,79; 83,1389
399,11; 83,0094
400,44; 83,2251
401,76; 83,0269
403,08; 83,5603
404,41; 83,6874
405,73; 82,4813
407,06; 83,2166
408,38; 82,7583
409,7; 83,2677
411,03; 82,0931
412,35; 83,2167
413,67; 82,5187
414,99; 83,2537
416,31; 83,2114
417,64; 83,631
418,96; 82,775
420,28; 82,9064
421,6; 83,4525
422,92; 82,8819
424,24; 83,4811
425,56; 82,7796
426,88; 82,9087
428,2; 83,2421
429,52; 83,1829
430,84; 82,8308
432,16; 82,892
433,48; 83,3899
434,8; 82,994
436,12; 82,9536
437,44; 83,3507
438,75; 83,0906
440,07; 83,3931
441,39; 83,0037
442,71; 83,1951
444,02; 83,4628
445,34; 83,2375
446,66; 83,6233
447,98; 83,619
449,29; 82,9045
450,61; 83,462
451,92; 83,0243
453,24; 83,4593
454,55; 83,6719
455,87; 82,9203
457,18; 83,3921
458,5; 83,4962
459,81; 82,9056
461,13; 83,757
462,44; 83,1806
463,76; 83,3596
465,07; 83,3819
466,38; 82,8702
467,7; 83,2688
469,01; 84,1968
470,32; 83,2861
471,63; 83,0513
472,95; 83,6952
474,26; 83,1264
475,57; 83,3373
476,88; 84,1458
478,19; 83,2088
479,5; 83,5761
480,81; 83,9369
482,13; 83,0147
483,44; 83,4574
484,75; 83,8853
486,06; 83,1457
487,37; 83,0889
488,67; 83,7649
489,98; 83,1062
491,29; 83,039
492,6; 83,7926
493,91; 82,9806
495,22; 82,7484
496,53; 83,9396
497,83; 83,7291
499,14; 82,7183
500,45; 83,4332
501,76; 83,6793
503,06; 82,8404
504,37; 83,2917
505,68; 84,0399
506,98; 83,1298
508,29; 82,9526
509,6; 83,946
510,9; 83,7116
512,21; 82,7254
513,51; 83,1127
514,82; 83,9914
516,12; 83,0682
517,42; 82,9311
518,73; 83,8976
520,03; 83,846
521,34; 82,8694
522,64; 83,3152
523,94; 84,2681
525,25; 83,6175
526,55; 82,5954
527,85; 83,4614
529,15; 84,2439
530,46; 83,204
531,76; 82,7042
533,06; 83,7826
534,36; 84,0333
535,66; 82,8271
536,96; 82,7794
538,26; 84,1698
539,56; 84,2035
540,87; 82,7938
542,17; 82,8915
543,47; 84,0573
544,76; 84,008
546,06; 82,9527
547,36; 82,7637
548,66; 84,0053
549,96; 84,0356
551,26; 82,607
552,56; 82,84
553,86; 84,3158
555,15; 84,0006
556,45; 82,7764
557,75; 82,5027
559,05; 83,6975
560,34; 84,3962
561,64; 83,1927
562,94; 82,5308
564,23; 83,6907
565,53; 84,387
566,82; 83,3837
568,12; 82,6115
569,41; 83,3412
570,71; 84,4117
572; 83,9338
573,3; 82,6315
574,59; 82,6925
575,89; 84,5122
577,18; 84,7848
578,47; 83,5487
579,77; 82,4392
581,06; 83,3352
582,35; 84,6071
583,65; 84,2718
584,94; 83,1324
586,23; 82,9769
587,52; 84,1928
588,82; 84,8663
590,11; 83,6111
591,4; 82,5363
592,69; 83,3575
593,98; 84,9199
595,27; 85,0254
596,56; 83,582
597,85; 82,4037
599,14; 83,1439
600,43; 84,6903
601,72; 84,7522
603,01; 83,3705
604,3; 82,7693
605,59; 83,5406
606,88; 84,7302
608,16; 84,517
609,45; 83,0445
610,74; 82,4794
612,03; 83,6109
613,32; 84,9135
614,6; 84,6527
615,89; 83,1067
617,18; 82,1415
618,46; 83,091
