"Wavelength (nm)"; "Transmittance (%)"
395,13; 82,9871
396,46; 82,9591
397,79; 83,5335
399,11; 83,9736
400,44; 83,6958
401,76; 83,4003
403,08; 84,4663
404,41; 83,0705
405,73; 83,5985
407,06; 83,632
408,38; 83,0387
409,7; 83,5659
411,03; 83,3775
412,35; 83,7094
413,67; 83,5004
414,99; 83,9817
416,31; 83,8181
417,64; 83,8232
418,96; 83,2678
420,28; 83,7055
421,6; 83,3326
422,92; 83,9839
424,24; 84,1129
425,56; 83,6671
426,88; 83,6419
428,2; 83,7672
429,52; 83,7624
430,84; 84,0112
432,16; 83,8357
433,48; 83,9911
434,8; 83,8321
436,12; 84,1626
437,44; 83,9315
438,75; 83,674
440,07; 84,3685
441,39; 83,7274
442,71; 83,8762
444,02; 84,1578
445,34; 83,567
446,66; 84,1625
447,98; 83,7279
449,29; 83,9443
450,61; 84,4632
451,92; 83,8015
453,24; 84,3132
454,55; 84,0214
455,87; 83,8077
457,18; 84,3444
458,5; 83,9596
459,81; 83,8217
461,13; 84,5601
462,44; 83,9641
463,76; 84,1143
465,07; 84,5407
466,38; 83,8574
467,7; 84,1774
469,01; 84,458
470,32; 83,7536
471,63; 84,0964
472,95; 84,4238
474,26; 83,7418
475,57; 84,3872
476,88; 84,7141
478,19; 83,8204
479,5; 84,0131
480,81; 84,3607
482,13; 83,6726
483,44; 84,1327
484,75; 84,4472
486,06; 83,6082
487,37; 83,96
488,67; 84,7372
489,98; 83,899
491,29; 83,6287
492,6; 84,5483
493,91; 84,0444
495,22; 83,6041
496,53; 84,4529
497,83; 84,1792
499,14; 83,4672
500,45; 84,1529
501,76; 84,5318
503,06; 83,5585
504,37; 83,8091
505,68; 84,6175
506,98; 83,9447
508,29; 83,3369
509,6; 84,4853
510,9; 84,679
512,21; 83,5651
513,51; 83,625
514,82; 84,6746
516,12; 84,1899
517,42; 83,4858
518,73; 84,2942
520,03; 84,6163
521,34; 83,5656
522,64; 83,4462
523,94; 84,5633
525,25; 84,5281
526,55; 83,3094
527,85; 83,8076
529,15; 84,682
530,46; 84,13
531,76; 83,2229
533,06; 84,0081
534,36; 85,0361
535,66; 83,9615
536,96; 83,2179
538,26; 84,0982
539,56; 84,8778
540,87; 83,9811
542,17; 83,3796
543,47; 84,3264
544,76; 85,006
546,06; 83,7079
547,36; 83,0477
548,66; 84,2708
549,96; 84,9714
551,26; 83,9638
552,56; 83,1496
553,86; 84,0302
555,15; 84,8635
556,45; 84,0909
557,75; 83,1077
559,05; 83,9617
560,34; 85,0112
561,64; 84,5891
562,94; 83,2256
564,23; 83,4119
565,53; 84,8515
566,82; 85,0903
568,12; 83,8499
569,41; 83,2321
570,71; 84,5033
572; 85,2297
573,3; 84,2833
574,59; 83,3085
575,89; 83,9862
577,18; 85,2986
578,47; 85,2723
579,77; 83,8332
581,06; 83,3135
582,35; 84,525
583,65; 85,4658
584,94; 84,7365
586,23; 83,5518
587,52; 83,7338
588,82; 85,1844
590,11; 85,4619
591,4; 84,3004
592,69; 83,3004
593,98; 84,1743
595,27; 85,6381
596,56; 85,5467
597,85; 84,2091
599,14; 83,4396
600,43; 84,2858
601,72; 85,5335
603,01; 85,3996
604,3; 83,9774
605,59; 83,3726
606,88; 84,437
608,16; 85,6553
609,45; 85,7172
610,74; 84,1447
612,03; 83,404
613,32; 84,2821
614,6; 85,5596
615,89; 85,7025
617,18; 84,2786
618,46; 83,438
619,75; 84,0401
621,04; 85,4471
622,32; 85,8547
623,61; 84,7619
624,89; 83,4156
626,18; 83,4055
627,46; 84,8852
628,75; 85,9714
630,03; 85,4667
631,32; 84,0069
632,6; 83,3163
633,88; 84,0761
635,17; 85,4381
636,45; 85,7301
637,73; 84,5689
639,02; 83,3103
640,3; 83,4099
641,58; 84,8675
642,86; 86,0544
644,15; 85,6147
645,43; 84,2414
646,71; 83,0677
647,99; 83,565
649,27; 85,0632
650,55; 85,9834
651,83; 85,3393
653,11; 83,969
654,39; 83,2266
655,67; 83,948
656,95; 85,3563
658,23; 85,9499
659,51; 85,2349
660,79; 83,7338
662,07; 83,093
663,35; 83,952
664,63; 85,3904
665,91; 86,1302
667,18; 85,2785
668,46; 83,8951
669,74; 83,0579
671,02; 83,5974
672,29; 85,0071
673,57; 85,9747
674,85; 85,6467
676,12; 84,2537
677,4; 83,1185
678,67; 83,2569
679,95; 84,5387
681,22; 85,823
682,5; 86,0023
683,77; 84,8044
685,05; 83,4133
686,32; 82,9897
687,6; 83,8914
688,87; 85,3482
690,15; 86,1684
691,42; 85,6135
692,69; 84,2525
693,97; 83,0696
695,24; 82,9816
696,51; 84,1776
697,78; 85,5031
699,05; 86,0652
700,33; 85,3629
701,6; 84,044
702,87; 83,0181
704,14; 83,2449
705,41; 84,4219
706,68; 85,6459
707,95; 86,0702
709,22; 85,2633
710,49; 83,7894
711,76; 82,7605
713,03; 83,095
714,3; 84,2712
715,57; 85,7275
716,84; 86,1493
718,11; 85,534
719,38; 84,1546
720,65; 83,0148
721,91; 82,8334
723,18; 83,8064
724,45; 85,2855
725,72; 86,0627
726,98; 85,851
728,25; 84,49
729,52; 83,2612
730,78; 82,7299
732,05; 83,3365
733,32; 84,7019
734,58; 85,8433
735,85; 86,0851
737,11; 85,203
738,38; 83,8459
739,64; 82,7942
740,91; 82,6586
742,17; 83,5476
743,44; 84,9709
744,7; 86,0251
745,96; 85,9838
747,23; 84,9326
748,49; 83,5042
749,75; 82,6507
751,02; 82,7404
752,28; 83,8414
753,54; 85,1625
754,8; 86,0524
756,06; 85,84
757,33; 84,656
758,59; 83,3012
759,85; 82,5171
761,11; 82,6526
762,37; 83,4771
763,63; 84,9442
764,89; 85,963
766,15; 85,9703
767,41; 84,939
768,67; 83,6563
769,93; 82,4983
771,19; 82,2349
772,45; 82,9141
773,71; 84,269
774,96; 85,6267
776,22; 86,0978
777,48; 85,4537
778,74; 84,2521
779,99; 82,8841
781,25; 82,322
