"Wavelength (nm)"; "Transmittance (%)"
395,13; 82,3818
396,46; 82,6219
397,79; 83,2527
399,11; 83,7528
400,44; 82,7745
401,76; 81,5965
403,08; 83,4641
404,41; 83,3489
405,73; 82,834
407,06; 83,0227
408,38; 83,3977
409,7; 83,319
411,03; 82,9461
412,35; 82,8478
413,67; 83,3028
414,99; 83,2212
416,31; 83,8739
417,64; 83,0019
418,96; 83,3268
420,28; 82,9479
421,6; 83,203
422,92; 83,554
424,24; 83,0758
425,56; 84,0426
426,88; 82,946
428,2; 82,9754
429,52; 82,7869
430,84; 83,072
432,16; 84,0919
433,48; 83,2297
434,8; 83,7128
436,12; 83,1424
437,44; 83,3761
438,75; 83,8198
440,07; 83,1056
441,39; 83,8849
442,71; 83,1686
444,02; 83,2711
445,34; 83,6416
446,66; 83,4161
447,98; 83,9925
449,29; 83,4242
450,61; 83,5089
451,92; 83,904
453,24; 83,6287
454,55; 83,4816
455,87; 83,704
457,18; 83,4854
458,5; 83,8863
459,81; 83,7664
461,13; 83,3808
462,44; 84,0546
463,76; 83,6584
465,07; 83,4805
466,38; 84,1113
467,7; 83,3745
469,01; 83,5939
470,32; 84,0391
471,63; 83,4874
472,95; 83,7971
474,26; 83,9362
475,57; 83,2539
476,88; 83,507
478,19; 84,0519
479,5; 83,4113
480,81; 83,6783
482,13; 84,1946
483,44; 83,2347
484,75; 83,6499
486,06; 83,9472
487,37; 83,3358
488,67; 83,6905
489,98; 84,179
491,29; 83,1685
492,6; 83,2595
493,91; 83,9779
495,22; 83,4236
496,53; 83,2721
497,83; 84,0888
499,14; 83,5997
500,45; 82,8917
501,76; 83,6862
503,06; 83,9475
504,37; 83,0879
505,68; 83,4963
506,98; 84,2184
508,29; 83,345
509,6; 83,0248
510,9; 83,9498
512,21; 84,0121
513,51; 82,9852
514,82; 83,4818
516,12; 84,337
517,42; 83,4314
518,73; 83,0009
520,03; 83,9828
521,34; 84,091
522,64; 83,1863
523,94; 83,3121
525,25; 84,3948
526,55; 83,5431
527,85; 82,6618
529,15; 83,4771
530,46; 84,2372
531,76; 83,4755
533,06; 82,9637
534,36; 83,9671
535,66; 84,1359
536,96; 82,9188
538,26; 82,7178
539,56; 84,0192
540,87; 84,3497
542,17; 83,1881
543,47; 83,0255
544,76; 84,1972
546,06; 84,0056
547,36; 82,7558
548,66; 82,735
549,96; 84,1692
551,26; 84,3396
552,56; 83,1006
553,86; 82,8922
555,15; 84,047
556,45; 84,1957
557,75; 82,9222
559,05; 82,6217
560,34; 83,8776
561,64; 84,6397
562,94; 83,4969
564,23; 82,6739
565,53; 83,4979
566,82; 84,4325
568,12; 83,7286
569,41; 82,7201
570,71; 83,2163
572; 84,7098
573,3; 84,6319
574,59; 83,2471
575,89; 82,8941
577,18; 83,9966
578,47; 84,803
579,77; 83,762
581,06; 82,9172
582,35; 83,5029
583,65; 84,8797
584,94; 84,7091
586,23; 83,3546
587,52; 82,8482
588,82; 83,9596
590,11; 84,8969
591,4; 84,3036
592,69; 83,1343
593,98; 83,2402
595,27; 84,5861
596,56; 85,1301
597,85; 84,0196
599,14; 82,7899
600,43; 83,2778
601,72; 84,6991
603,01; 85,1071
604,3; 83,9566
605,59; 82,9108
606,88; 83,616
608,16; 84,9167
609,45; 85,1012
610,74; 83,8247
612,03; 82,8096
613,32; 83,3831
614,6; 84,7563
615,89; 85,2528
617,18; 84,0447
618,46; 82,9064
619,75; 83,2685
621,04; 84,6484
622,32; 85,2158
623,61; 84,2108
624,89; 82,9157
626,18; 82,7856
627,46; 84,1614
628,75; 85,2509
630,03; 84,8276
631,32; 83,4077
632,6; 82,7255
633,88; 83,6567
635,17; 84,9214
636,45; 85,1199
637,73; 83,8768
639,02; 82,6773
640,3; 82,8751
641,58; 84,282
642,86; 85,3697
644,15; 84,9408
645,43; 83,4889
646,71; 82,6319
647,99; 83,2236
649,27; 84,6579
650,55; 85,1888
651,83; 84,446
653,11; 82,9686
654,39; 82,605
655,67; 83,6904
656,95; 85,053
658,23; 85,403
659,51; 84,3275
660,79; 82,8677
662,07; 82,5879
663,35; 83,4795
664,63; 84,9015
665,91; 85,1939
667,18; 84,2822
668,46; 82,8262
669,74; 82,5071
671,02; 83,6163
672,29; 84,9226
673,57; 85,5167
674,85; 84,6792
676,12; 83,152
677,4; 82,2425
678,67; 82,8106
679,95; 84,3321
681,22; 85,1802
682,5; 84,9692
683,77; 83,6469
685,05; 82,558
686,32; 82,6665
687,6; 84,0242
688,87; 85,2962
690,15; 85,4046
691,42; 84,247
692,69; 82,7742
693,97; 82,1845
695,24; 82,8333
696,51; 84,3427
697,78; 85,3474
699,05; 85,1876
700,33; 83,8174
701,6; 82,6517
702,87; 82,4949
704,14; 83,3411
705,41; 84,7181
706,68; 85,2992
707,95; 84,7871
709,22; 83,4344
710,49; 82,2383
711,76; 82,1453
713,03; 83,2076
