"Wavelength (nm)"; "Transmittance (%)"
395,13; 83,3052
396,46; 83,307
397,79; 83,226
399,11; 83,0592
400,44; 82,9334
401,76; 82,7303
403,08; 83,8122
404,41; 83,7714
405,73; 82,9947
407,06; 83,5924
408,38; 82,9049
409,7; 82,9536
411,03; 82,5413
412,35; 83,1821
413,67; 83,2847
414,99; 83,1268
416,31; 83,9194
417,64; 83,1397
418,96; 83,7576
420,28; 83,0782
421,6; 83,3804
422,92; 83,8666
424,24; 83,5759
425,56; 83,7365
426,88; 83,3158
428,2; 83,3823
429,52; 82,9835
430,84; 83,0737
432,16; 84,1268
433,48; 83,6049
434,8; 83,7479
436,12; 83,9142
437,44; 83,5551
438,75; 84,0425
440,07; 83,6868
441,39; 83,9599
442,71; 84,1722
444,02; 83,7031
445,34; 84,0432
446,66; 83,2248
447,98; 83,5881
449,29; 83,7662
450,61; 83,6262
451,92; 83,9793
453,24; 84,0076
454,55; 83,5115
455,87; 84,179
457,18; 83,842
458,5; 83,526
459,81; 84,2247
461,13; 83,848
462,44; 83,4931
463,76; 83,9305
465,07; 83,4408
466,38; 83,603
467,7; 83,9689
469,01; 83,4851
470,32; 83,6867
471,63; 84,2823
472,95; 83,6106
474,26; 83,7769
475,57; 84,5402
476,88; 83,8963
478,19; 83,9819
479,5; 84,4348
480,81; 83,5644
482,13; 83,6286
483,44; 84,2019
484,75; 83,49
486,06; 83,3119
487,37; 84,0636
488,67; 83,7176
489,98; 83,3085
491,29; 84,1004
492,6; 84,0919
493,91; 83,4334
495,22; 83,8884
496,53; 84,2533
497,83; 83,5243
499,14; 83,5914
500,45; 84,5618
501,76; 83,5378
503,06; 83,0811
504,37; 84,1471
505,68; 84,1203
506,98; 82,9549
508,29; 83,5289
509,6; 84,3159
510,9; 83,444
512,21; 83,2478
513,51; 84,2303
514,82; 84,0153
516,12; 83,337
517,42; 83,6431
518,73; 84,551
520,03; 83,8706
521,34; 83,2155
522,64; 83,9675
523,94; 84,506
525,25; 83,5455
526,55; 83,0172
527,85; 84,1163
529,15; 84,2532
530,46; 83,1165
531,76; 83,0782
533,06; 84,2081
534,36; 84,1072
535,66; 82,8474
536,96; 83,2754
538,26; 84,3951
539,56; 84,037
540,87; 83,0676
542,17; 83,3408
543,47; 84,4327
544,76; 84,3251
546,06; 83,0578
547,36; 83,1033
548,66; 84,3568
549,96; 84,3485
551,26; 83,1334
552,56; 82,9262
553,86; 84,2832
555,15; 84,609
556,45; 83,1817
557,75; 82,6987
559,05; 84,008
560,34; 84,6487
561,64; 83,5197
562,94; 82,6736
564,23; 83,5695
565,53; 84,6812
566,82; 84,237
568,12; 82,9877
569,41; 83,1181
570,71; 84,4343
572; 84,8245
573,3; 83,7166
574,59; 83,005
575,89; 83,9946
577,18; 85,1755
578,47; 84,706
579,77; 83,3798
581,06; 83,3557
582,35; 84,7543
583,65; 85,3346
584,94; 84,2749
586,23; 83,2502
587,52; 83,8018
588,82; 85,0368
590,11; 85,1485
591,4; 83,9474
592,69; 83,1086
593,98; 83,9449
595,27; 85,1702
596,56; 85,0015
597,85; 83,6139
599,14; 83,0092
600,43; 84,0216
601,72; 85,2834
603,01; 84,9599
604,3; 83,7552
605,59; 83,1353
606,88; 84,0325
608,16; 85,471
609,45; 85,3888
610,74; 84,1074
612,03; 83,3125
613,32; 84,0665
614,6; 85,4585
615,89; 85,6522
617,18; 84,3532
618,46; 83,2151
619,75; 83,6858
621,04; 84,9884
622,32; 85,7489
623,61; 84,7916
624,89; 83,3655
626,18; 83,0812
627,46; 84,3483
628,75; 85,5132
630,03; 85,2737
631,32; 83,9283
632,6; 82,7642
633,88; 83,4011
635,17; 84,882
636,45; 85,6237
637,73; 84,651
639,02; 83,3833
640,3; 82,9992
641,58; 84,0915
642,86; 85,4269
644,15; 85,6467
645,43; 84,3792
646,71; 83,183
647,99; 83,2215
649,27; 84,438
650,55; 85,514
651,83; 85,6341
653,11; 84,3568
654,39; 83,069
655,67; 83,1153
656,95; 84,3795
658,23; 85,4606
659,51; 85,4725
660,79; 84,2268
662,07; 82,8696
663,35; 82,931
664,63; 84,1111
665,91; 85,3941
667,18; 85,5796
668,46; 84,4106
669,74; 82,9828
671,02; 82,7315
672,29; 83,8105
673,57; 85,257
674,85; 85,7527
676,12; 84,8827
677,4; 83,4596
678,67; 82,7283
679,95; 83,3908
681,22; 84,7227
682,5; 85,6701
683,77; 85,5531
685,05; 84,383
686,32; 83,0222
687,6; 82,7457
688,87; 83,7235
690,15; 85,074
691,42; 85,6824
692,69; 85,1323
693,97; 83,8009
695,24; 82,7233
696,51; 82,6075
697,78; 83,9297
699,05; 85,2735
700,33; 85,672
701,6; 84,8933
702,87; 83,4019
704,14; 82,4902
705,41; 82,8436
706,68; 84,035
707,95; 85,3501
709,22; 85,9273
710,49; 85,1959
711,76; 83,7705
713,03; 82,6319
714,3; 82,7029
715,57; 83,731
716,84; 85,1638
718,11; 85,9344
719,38; 85,3415
720,65; 83,9337
721,91; 82,8125
723,18; 82,451
724,45; 83,3018
725,72; 84,6066
726,98; 85,6576
728,25; 85,6192
729,52; 84,5813
730,78; 83,0573
732,05; 82,1509
733,32; 82,3932
734,58; 83,7191
735,85; 85,1201
737,11; 85,807
738,38; 85,3332
739,64; 83,8862
740,91; 82,721
742,17; 82,1201
743,44; 82,8348
744,7; 84,1745
745,96; 85,3687
747,23; 85,8604
748,49; 85,3033
749,75; 83,9727
751,02; 82,6828
