"Wavelength (nm)"; "Transmittance (%)"
395,13; 85,4504
396,46; 83,4003
397,79; 83,7155
399,11; 84,8659
400,44; 83,8649
401,76; 84,4807
403,08; 84,7795
404,41; 84,3625
405,73; 84,1374
407,06; 84,8387
408,38; 84,2561
409,7; 84,1458
411,03; 83,8672
412,35; 84,4928
413,67; 84,665
414,99; 84,9211
416,31; 84,5186
417,64; 84,4087
418,96; 84,4235
420,28; 84,569
421,6; 83,6112
422,92; 84,3674
424,24; 84,2526
425,56; 84,6576
426,88; 84,1973
428,2; 84,2803
429,52; 84,3811
430,84; 84,5027
432,16; 84,2675
433,48; 84,7572
434,8; 84,033
436,12; 84,4232
437,44; 84,072
438,75; 84,6256
440,07; 84,5475
441,39; 84,5863
442,71; 84,9077
444,02; 84,3583
445,34; 84,651
446,66; 84,4558
447,98; 84,2224
449,29; 84,6605
450,61; 84,5451
451,92; 84,1674
453,24; 84,7269
454,55; 84,2655
455,87; 84,5006
457,18; 84,8917
458,5; 84,3241
459,81; 85,0134
461,13; 84,8051
462,44; 84,2432
463,76; 84,7025
465,07; 84,2451
466,38; 84,4082
467,7; 84,876
469,01; 84,4062
470,32; 84,3485
471,63; 84,8993
472,95; 84,2691
474,26; 84,3491
475,57; 85,0655
476,88; 84,3356
478,19; 84,5753
479,5; 84,9
480,81; 84,1115
482,13; 84,512
483,44; 84,8891
484,75; 84,2265
486,06; 84,3774
487,37; 84,9435
488,67; 84,3987
489,98; 83,9177
491,29; 84,907
492,6; 84,4061
493,91; 84,0931
495,22; 84,8364
496,53; 84,5653
497,83; 83,7681
499,14; 84,5113
500,45; 84,8257
501,76; 83,8466
503,06; 84,2357
504,37; 85,015
505,68; 84,1639
506,98; 83,7926
508,29; 84,7801
509,6; 84,7865
510,9; 83,6712
512,21; 84,385
513,51; 84,9943
514,82; 84,117
516,12; 83,8452
517,42; 84,9161
518,73; 84,828
520,03; 83,816
521,34; 84,2656
522,64; 85,1942
523,94; 84,4757
525,25; 83,737
526,55; 84,5071
527,85; 85,2071
529,15; 84,0348
530,46; 83,6259
531,76; 84,7814
533,06; 84,8933
534,36; 83,7086
535,66; 83,808
536,96; 84,9443
538,26; 84,6855
539,56; 83,6958
540,87; 83,8852
542,17; 85,0906
543,47; 84,723
544,76; 83,6559
546,06; 83,8572
547,36; 85,0141
548,66; 84,7837
549,96; 83,6304
551,26; 83,7653
552,56; 85,0931
553,86; 84,8037
555,15; 83,5905
556,45; 83,5325
557,75; 84,8696
559,05; 85,0998
560,34; 83,7368
561,64; 83,5042
562,94; 84,6052
564,23; 85,2798
565,53; 84,1387
566,82; 83,3645
568,12; 84,2618
569,41; 85,4454
570,71; 84,7775
572; 83,6792
573,3; 84,0152
574,59; 85,3079
575,89; 85,3118
577,18; 84,226
578,47; 83,4899
579,77; 84,5479
581,06; 85,5342
582,35; 85,0713
583,65; 83,6573
584,94; 83,8366
586,23; 85,1079
587,52; 85,5829
588,82; 84,4311
590,11; 83,5447
591,4; 84,3558
592,69; 85,4758
593,98; 85,4809
595,27; 84,1057
596,56; 83,5011
597,85; 84,4948
599,14; 85,6927
600,43; 85,3426
601,72; 83,7393
603,01; 83,5852
604,3; 84,7695
605,59; 85,7445
606,88; 85,305
608,16; 83,9191
609,45; 83,675
610,74; 84,6622
612,03; 85,8674
613,32; 85,288
614,6; 83,8023
615,89; 83,3235
617,18; 84,4146
618,46; 85,8212
619,75; 85,5733
621,04; 84,3025
622,32; 83,3272
623,61; 84,2579
624,89; 85,6645
626,18; 85,6787
627,46; 84,5602
628,75; 83,4181
630,03; 83,6953
631,32; 85,0908
632,6; 85,8764
633,88; 85,3235
635,17; 83,854
636,45; 83,3017
637,73; 84,2944
639,02; 85,6712
640,3; 85,6631
641,58; 84,4739
642,86; 83,3328
644,15; 83,469
645,43; 84,7319
646,71; 85,749
647,99; 85,4901
649,27; 84,1846
650,55; 83,0816
651,83; 83,7059
653,11; 85,136
654,39; 85,9292
655,67; 85,0379
656,95; 83,8963
658,23; 83,2047
659,51; 83,7946
660,79; 85,0563
662,07; 86,0908
663,35; 85,2194
664,63; 83,6368
665,91; 83,0888
667,18; 83,5265
668,46; 85,0785
669,74; 86,0585
671,02; 85,4801
672,29; 84,0928
673,57; 83,0317
674,85; 83,4601
676,12; 84,7413
677,4; 85,8669
678,67; 85,7593
