"Wavelength (nm)"; "Transmittance (%)"
395,13; 83,5383
396,46; 82,5628
397,79; 82,7161
399,11; 83,0859
400,44; 83,7568
401,76; 82,9184
403,08; 82,9639
404,41; 83,1411
405,73; 82,6832
407,06; 83,8942
408,38; 83,3642
409,7; 83,3091
411,03; 83,1944
412,35; 83,0478
413,67; 83,0762
414,99; 83,3006
416,31; 83,2645
417,64; 83,4945
418,96; 83,1868
420,28; 83,0231
421,6; 82,9719
422,92; 83,5841
424,24; 83,4964
425,56; 82,8527
426,88; 83,0445
428,2; 83,5903
429,52; 83,1472
430,84; 83,1601
432,16; 83,4241
433,48; 83,7384
434,8; 83,2889
436,12; 83,3716
437,44; 83,3501
438,75; 83,1139
440,07; 83,5461
441,39; 83,419
442,71; 83,2879
444,02; 83,8062
445,34; 83,3131
446,66; 83,7537
447,98; 83,5882
449,29; 83,0724
450,61; 83,7779
451,92; 83,3644
453,24; 83,1803
454,55; 83,5942
455,87; 82,9733
457,18; 83,536
458,5; 83,7861
459,81; 83,2504
461,13; 83,7516
462,44; 83,6473
463,76; 83,0052
465,07; 83,6323
466,38; 83,4372
467,7; 83,4805
469,01; 83,7521
470,32; 83,4386
471,63; 83,3325
472,95; 83,8051
474,26; 83,3897
475,57; 83,4208
476,88; 84,1093
478,19; 83,5122
479,5; 83,273
480,81; 83,7737
482,13; 83,402
483,44; 83,2871
484,75; 84,0314
486,06; 83,5747
487,37; 83,1794
488,67; 83,8225
489,98; 83,4623
491,29; 83,0298
492,6; 83,7288
493,91; 83,5837
495,22; 83,1369
496,53; 83,5014
497,83; 83,9974
499,14; 82,982
500,45; 83,0836
501,76; 83,8116
503,06; 83,506
504,37; 83,0337
505,68; 83,699
506,98; 83,6609
508,29; 82,9312
509,6; 83,2296
510,9; 83,9958
512,21; 83,4092
513,51; 83,0585
514,82; 83,74
516,12; 83,8526
517,42; 83,1192
518,73; 83,2971
520,03; 84,0666
521,34; 83,5675
522,64; 82,8539
523,94; 83,5187
525,25; 84,1733
526,55; 83,3082
527,85; 82,8943
529,15; 83,8065
530,46; 83,9361
531,76; 82,989
533,06; 83,1083
534,36; 83,9935
535,66; 83,979
536,96; 82,8987
538,26; 83,1562
539,56; 84,1151
540,87; 83,7587
542,17; 82,7557
543,47; 83,1591
544,76; 84,1251
546,06; 83,7221
547,36; 82,7234
548,66; 83,0369
549,96; 84,2748
551,26; 83,8701
552,56; 82,794
553,86; 82,8619
555,15; 84,1363
556,45; 83,9789
557,75; 82,8707
559,05; 82,7852
560,34; 83,8758
561,64; 84,2374
562,94; 83,0858
564,23; 82,6058
565,53; 83,5437
566,82; 84,3734
568,12; 83,6484
569,41; 82,7853
570,71; 83,209
572; 84,4043
573,3; 84,3374
574,59; 83,1175
575,89; 82,7508
577,18; 84,115
578,47; 84,6578
579,77; 83,7169
