"Wavelength (nm)"; "Transmittance (%)"
395,13; 81,1203
396,46; 80,2792
397,79; 79,5905
399,11; 81,3563
400,44; 80,1516
401,76; 81,221
403,08; 81,6868
404,41; 80,2783
405,73; 80,9676
407,06; 81,3556
408,38; 80,7967
409,7; 80,0804
411,03; 80,7589
412,35; 79,7166
413,67; 81,2599
414,99; 80,7423
416,31; 80,8028
417,64; 81,0426
418,96; 80,5285
420,28; 80,8756
421,6; 80,3836
422,92; 81,0231
424,24; 80,8521
425,56; 80,8615
426,88; 80,3059
428,2; 80,7478
429,52; 81,048
430,84; 80,529
432,16; 81,3466
433,48; 81,1308
434,8; 80,7088
436,12; 81,5455
437,44; 80,7417
438,75; 80,9791
440,07; 81,0282
441,39; 80,7355
442,71; 81,157
444,02; 80,9472
445,34; 80,9074
446,66; 81,0488
447,98; 80,3305
449,29; 81,1323
450,61; 80,8568
451,92; 80,5231
453,24; 81,0897
454,55; 80,7579
455,87; 80,9422
457,18; 81,3365
458,5; 80,4087
459,81; 81,2206
461,13; 81,395
462,44; 80,8638
463,76; 81,3636
465,07; 81,2808
466,38; 80,7408
467,7; 81,185
469,01; 81,1551
470,32; 80,9223
471,63; 81,5051
472,95; 81,1088
474,26; 80,5103
475,57; 81,3006
476,88; 81,1163
478,19; 80,5356
479,5; 81,434
480,81; 81,0969
482,13; 80,3967
483,44; 81,1484
484,75; 81,0496
486,06; 80,4696
487,37; 81,1405
488,67; 81,2972
489,98; 80,3461
491,29; 80,8583
492,6; 81,4363
493,91; 80,4972
495,22; 80,5252
496,53; 81,4615
497,83; 80,7868
499,14; 80,1993
500,45; 81,1812
501,76; 81,1245
503,06; 80,1408
504,37; 80,6274
505,68; 81,3127
506,98; 80,5478
508,29; 80,0851
509,6; 81,1892
510,9; 81,0151
512,21; 80,0722
513,51; 80,5918
514,82; 81,4171
516,12; 80,6317
517,42; 80,0829
518,73; 81,095
520,03; 81,4201
521,34; 80,2145
522,64; 80,2384
523,94; 81,4132
525,25; 81,0475
526,55; 79,8609
527,85; 80,5055
529,15; 81,4651
530,46; 80,81
531,76; 79,865
533,06; 80,768
534,36; 81,6143
535,66; 80,6322
536,96; 79,7588
538,26; 80,7333
539,56; 81,6309
540,87; 80,4807
542,17; 79,7488
543,47; 80,7359
544,76; 81,5467
546,06; 80,4853
547,36; 79,5788
548,66; 80,6618
549,96; 81,5166
551,26; 80,5672
552,56; 79,5104
553,86; 80,3972
555,15; 81,4939
556,45; 80,8454
557,75; 79,6344
559,05; 80,0184
560,34; 81,4297
561,64; 81,2793
562,94; 79,9395
564,23; 79,7826
565,53; 81,2084
566,82; 81,7234
568,12; 80,6109
569,41; 79,7262
570,71; 80,5884
572; 81,9393
573,3; 81,4222
574,59; 80,017
575,89; 80,0071
577,18; 81,505
578,47; 82,0908
579,77; 80,8314
581,06; 79,7173
582,35; 80,5948
583,65; 82,0175
584,94; 81,7899
586,23; 80,3433
587,52; 79,8521
588,82; 81,0658
590,11; 82,2328
591,4; 81,5437
592,69; 79,9909
593,98; 80,0159
595,27; 81,4324
596,56; 82,2125
597,85; 81,3423
599,14; 79,8737
600,43; 80,0458
601,72; 81,5526
603,01; 82,3142
604,3; 81,2883
605,59; 79,8961
606,88; 79,9962
608,16; 81,4706
609,45; 82,4161
610,74; 81,6498
612,03; 80,0771
613,32; 79,8419
614,6; 81,2021
615,89; 82,4575
617,18; 81,8824
618,46; 80,2059
619,75; 79,7809
621,04; 80,7725
622,32; 82,3206
623,61; 82,2674
624,89; 80,8489
626,18; 79,7479
627,46; 80,2756
628,75; 81,7902
630,03; 82,5197
631,32; 81,619
632,6; 80,0191
633,88; 79,6548
635,17; 80,8248
636,45; 82,2184
637,73; 82,2628
639,02; 80,8244
640,3; 79,6354
641,58; 79,7942
642,86; 81,3189
644,15; 82,5
645,43; 82,0775
646,71; 80,5634
647,99; 79,4663
649,27; 80,1195
650,55; 81,5942
651,83; 82,5793
653,11; 81,8357
654,39; 80,2855
655,67; 79,3933
656,95; 80,0406
658,23; 81,7396
659,51; 82,6284
660,79; 81,9707
662,07; 80,3604
663,35; 79,3648
664,63; 79,9025
665,91; 81,5255
667,18; 82,6496
668,46; 82,2379
669,74; 80,6874
671,02; 79,4499
672,29; 79,6842
673,57; 81,0683
674,85; 82,3659
676,12; 82,4024
677,4; 81,1372
678,67; 79,7537
679,95; 79,3137
681,22; 80,3759
682,5; 81,9127
683,77; 82,74
685,05; 81,9489
686,32; 80,3948
687,6; 79,2866
688,87; 79,4989
690,15; 80,8883
691,42; 82,2984
692,69; 82,6139
693,97; 81,4501
695,24; 79,9055
696,51; 79,1057
697,78; 79,7024
699,05; 81,2313
700,33; 82,5283
701,6; 82,3561
702,87; 81,1777
704,14; 79,6843
705,41; 79,094
706,68; 79,8959
707,95; 81,2685
709,22; 82,4841
710,49; 82,4453
711,76; 81,2428
713,03; 79,8507
714,3; 79,0651
715,57; 79,5613
716,84; 80,9812
718,11; 82,3246
719,38; 82,6557
720,65; 81,7183
721,91; 80,297
723,18; 79,2061
724,45; 79,3328
725,72; 80,4475
726,98; 81,9452
728,25; 82,7501
729,52; 82,314
730,78; 80,944
732,05; 79,5858
733,32; 79,0494
734,58; 79,6509
735,85; 80,9708
737,11; 82,3171
738,38; 82,7333
739,64; 82,0219
740,91; 80,535
742,17; 79,2532
743,44; 78,8905
744,7; 79,769
745,96; 81,2301
747,23; 82,3636
748,49; 82,6411
749,75; 81,7207
751,02; 80,1809
752,28; 79,0483
753,54; 78,7651
754,8; 79,6319
756,06; 81,1111
757,33; 82,3996
758,59; 82,6333
759,85; 81,7578
761,11; 80,2524
762,37; 78,9509
763,63; 78,5584
764,89; 79,2225
766,15; 80,6546
767,41; 82,0512
768,67; 82,6302
769,93; 82,1128
771,19; 80,796
772,45; 79,2682
773,71; 78,5226
774,96; 78,7898
776,22; 79,9948
777,48; 81,5272
778,74; 82,5964
779,99; 82,6713
781,25; 81,7181
782,51; 80,2434
783,77; 78,9393
785,02; 78,4255
786,28; 79,0168
787,53; 80,3324
788,79; 81,6603
790,05; 82,4623
791,3; 82,4954
792,56; 81,4458
793,81; 80,1499
795,07; 78,9305
796,32; 78,5236
797,58; 79,0707
798,83; 80,2957
800,08; 81,7316
801,34; 82,6024
802,59; 82,5749
803,84; 81,7288
805,1; 80,4084
806,35; 79,2943
807,6; 78,4919
808,85; 78,8414
810,11; 79,8435
811,36; 81,1253
812,61; 82,2344
813,86; 82,7206
815,11; 82,3185
816,36; 81,2331
817,61; 79,7608
818,86; 78,7895
820,11; 78,4937
821,36; 79,1564
822,61; 80,2889
823,86; 81,5899
825,11; 82,5451
826,36; 82,8052
827,61; 81,9541
828,86; 80,6894
830,11; 79,3366
831,35; 78,376
832,6; 78,355
833,85; 78,923
835,1; 80,2098
836,34; 81,5516
837,59; 82,5281
838,84; 82,7291
840,08; 82,1471
841,33; 80,7398
842,58; 79,2927
843,82; 78,215
845,07; 77,903
846,31; 78,3698
847,56; 79,5565
848,8; 81,0493
850,05; 82,2588
851,29; 82,6855
852,54; 82,3626
853,78; 81,3124
855,02; 79,7054
856,27; 78,4299
857,51; 77,8257
858,75; 78,0333
860; 78,7773
861,24; 80,0635
862,48; 81,4603
863,72; 82,442
864,97; 82,7534
866,21; 81,9432
867,45; 80,8656
868,69; 79,3732
869,93; 78,2343
871,17; 77,7922
872,41; 77,9862
873,65; 79,0191
874,89; 80,3639
876,13; 81,6734
877,37; 82,4205
878,61; 82,875
879,85; 82,236
881,09; 80,901
882,33; 79,5852
883,57; 78,3968
884,8; 77,8816
886,04; 78,1223
887,28; 79,0266
888,52; 80,2195
889,76; 81,2223
890,99; 82,4518
892,23; 83,0308
893,47; 82,5275
894,7; 81,6036
895,94; 80,4755
897,17; 79,2781
898,41; 78,2823
899,65; 78,1626
900,88; 78,5679
902,12; 79,3621
903,35; 80,7832
904,59; 81,8428
905,82; 82,7907
907,05; 83,0772
908,29; 82,9827
909,52; 81,8013
910,75; 80,8036
911,99; 79,6778
913,22; 78,6329
914,45; 78,5286
915,69; 78,7053
916,92; 79,5042
918,15; 80,4425
919,38; 81,6175
920,61; 82,7188
921,85; 83,1509
923,08; 83,1207
924,31; 82,4492
925,54; 81,3925
926,77; 80,0916
928; 78,9976
929,23; 78,3742
930,46; 78,4146
931,69; 78,9546
932,92; 79,7417
934,15; 80,6072
935,38; 81,9327
936,6; 82,7354
937,83; 83,1293
939,06; 82,6731
940,29; 82,1978
941,52; 81,0676
942,74; 80,2425
943,97; 79,0682
945,2; 78,2829
946,42; 78,0245
947,65; 78,5242
948,88; 79,4867
950,1; 80,5726
951,33; 81,5302
952,55; 82,5323
953,78; 83,1154
955,01; 83,1366
956,23; 82,8812
957,46; 81,668
958,68; 80,7713
959,9; 79,3611
961,13; 78,3451
962,35; 77,8068
963,58; 77,8833
964,8; 78,1228
966,02; 79,4027
967,24; 80,6188
968,47; 81,7121
969,69; 82,891
970,91; 82,9334
972,13; 83,268
973,36; 82,2515
974,58; 81,5191
975,8; 79,8662
977,02; 78,9797
978,24; 77,6829
979,46; 77,2577
980,68; 77,423
981,9; 77,9195
983,12; 79,1527
984,34; 79,9437
985,56; 81,1653
986,78; 82,0906
988; 83,1634
989,22; 82,9631
990,44; 82,3634
991,65; 81,3651
992,87; 80,1216
994,09; 78,9993
995,31; 77,9895
996,53; 77,2888
997,74; 76,7889
998,96; 77,7737
1000,18; 78,706
1001,39; 79,5431
1002,61; 80,3977
1003,83; 81,7854
1005,04; 82,6276
1006,26; 83,2232
1007,47; 82,9838
1008,69; 82,4719
1009,9; 81,3368
1011,12; 80,2583
1012,33; 79,4765
1013,54; 78,5401
1014,76; 78,1901
1015,97; 78,2054
1017,19; 78,2928
1018,4; 77,7885
1019,61; 79,0133
1020,83; 80,0863
1022,04; 81,0644
1023,25; 81,7953
1024,46; 83,0559
1025,67; 83,7441
1026,89; 83,3136
1028,1; 82,5815
1029,31; 81,3755
1030,52; 80,3509
1031,73; 79,7037
1032,94; 78,7089
1034,15; 78,3678
1035,36; 77,9007
1036,57; 78,8483
1037,78; 78,32
1038,99; 79,3278
1040,2; 79,9073
