"Wavelength (nm)"; "Transmittance (%)"
395,13; 82,0673
396,46; 81,6138
397,79; 83,8403
399,11; 82,2195
400,44; 82,486
401,76; 82,153
403,08; 82,7359
404,41; 82,7526
405,73; 82,665
407,06; 82,667
408,38; 82,3778
409,7; 82,5283
411,03; 82,3608
412,35; 82,6651
413,67; 82,9773
414,99; 83,171
416,31; 83,0326
417,64; 83,3638
418,96; 82,0613
420,28; 83,0127
421,6; 82,7057
422,92; 82,9807
424,24; 83,4181
425,56; 82,8721
426,88; 83,4435
428,2; 83,0404
429,52; 83,4085
430,84; 82,9826
432,16; 83,3772
433,48; 83,2721
434,8; 82,8785
436,12; 83,539
437,44; 83,176
438,75; 83,1652
440,07; 83,4056
441,39; 82,777
442,71; 83,7962
444,02; 83,5906
445,34; 83,1923
446,66; 83,4116
447,98; 82,8054
449,29; 83,1846
450,61; 83,4203
451,92; 82,9315
453,24; 83,5205
454,55; 83,0864
455,87; 82,7848
457,18; 83,7344
458,5; 83,319
459,81; 83,5099
461,13; 83,542
462,44; 82,8378
463,76; 83,5838
465,07; 83,3906
466,38; 83,0026
467,7; 83,6408
469,01; 83,2948
470,32; 82,9077
471,63; 83,7007
472,95; 83,5178
474,26; 83,0254
475,57; 83,5214
476,88; 83,2206
478,19; 82,9121
479,5; 83,8789
480,81; 83,5274
482,13; 83,1774
483,44; 83,8299
484,75; 83,2958
486,06; 82,4822
487,37; 83,7547
488,67; 83,6024
489,98; 82,9193
491,29; 83,5303
492,6; 83,4274
493,91; 82,309
495,22; 83,0594
496,53; 83,9697
497,83; 83,1503
499,14; 83,0788
500,45; 83,8767
501,76; 82,7002
503,06; 82,1491
504,37; 83,5714
505,68; 83,7139
506,98; 82,7727
508,29; 83,3477
509,6; 83,7207
510,9; 82,4301
512,21; 82,4739
513,51; 83,6505
514,82; 83,4003
516,12; 82,6263
517,42; 83,2718
518,73; 83,8678
520,03; 82,6483
521,34; 82,1511
522,64; 83,5234
523,94; 83,7273
525,25; 82,8383
526,55; 82,8696
527,85; 83,8213
529,15; 83,2192
530,46; 82,0059
531,76; 82,9214
533,06; 83,9405
534,36; 83,1727
535,66; 82,555
536,96; 83,326
538,26; 83,8894
539,56; 82,5918
540,87; 81,9105
542,17; 83,2604
543,47; 83,8521
544,76; 82,8124
546,06; 82,5586
547,36; 83,2987
548,66; 83,7684
549,96; 82,6701
551,26; 81,4913
552,56; 83,0776
553,86; 83,9602
555,15; 82,7749
556,45; 82,2645
557,75; 83,1899
559,05; 83,8706
560,34; 83,0581
561,64; 81,5681
562,94; 82,4847
564,23; 83,8863
565,53; 83,4755
566,82; 82,3946
568,12; 82,5663
569,41; 83,7832
570,71; 84,0354
572; 82,5088
573,3; 81,7421
574,59; 83,0096
575,89; 84,1889
577,18; 83,4428
578,47; 82,4686
579,77; 82,9454
581,06; 84,16
582,35; 84,3928
583,65; 82,8186
584,94; 81,9081
586,23; 82,8885
587,52; 84,377
588,82; 83,8456
590,11; 82,6699
591,4; 82,7775
592,69; 84,1001
593,98; 84,8422
595,27; 83,6788
596,56; 81,9845
597,85; 82,2338
599,14; 83,8226
600,43; 84,4971
601,72; 83,319
603,01; 82,3848
604,3; 83,1282
605,59; 84,4647
606,88; 84,5711
608,16; 83,4237
609,45; 81,8964
610,74; 82,2741
612,03; 83,8902
613,32; 84,2921
