"Wavelength (nm)"; "Transmittance (%)"
395,13; 79,1231
396,46; 80,9892
397,79; 80,2502
399,11; 80,7351
400,44; 80,3466
401,76; 79,953
403,08; 80,3227
404,41; 81,2432
405,73; 80,514
407,06; 80,3454
408,38; 80,9332
409,7; 79,8273
411,03; 80,639
412,35; 79,8324
413,67; 81,1515
414,99; 80,535
416,31; 80,5056
417,64; 80,5665
418,96; 80,0723
420,28; 80,6131
421,6; 80,3843
422,92; 80,9417
424,24; 80,6947
425,56; 80,5553
426,88; 81,0468
428,2; 80,4603
429,52; 81,1187
430,84; 80,5295
432,16; 81,2798
433,48; 81,0001
434,8; 80,8377
436,12; 81,2284
437,44; 80,5549
438,75; 80,7947
440,07; 81,2097
441,39; 80,7956
442,71; 80,8636
444,02; 81,0054
445,34; 80,9078
446,66; 81,0492
447,98; 80,6048
449,29; 81,2939
450,61; 80,9098
451,92; 80,73
453,24; 81,494
454,55; 80,7088
455,87; 80,9911
457,18; 81,0524
458,5; 80,5021
459,81; 81,0387
461,13; 81,2614
462,44; 80,7325
463,76; 81,2783
465,07; 80,9444
466,38; 80,5768
467,7; 81,2659
469,01; 81,1554
470,32; 80,807
471,63; 81,4301
472,95; 81,1828
474,26; 80,7994
475,57; 81,4422
476,88; 81,2545
478,19; 80,8385
479,5; 81,3031
480,81; 81,0015
482,13; 80,397
483,44; 81,3007
484,75; 81,1388
486,06; 80,3829
487,37; 81,0274
488,67; 81,1576
489,98; 80,264
491,29; 80,697
492,6; 81,3572
493,91; 80,3418
495,22; 80,3729
496,53; 81,4119
497,83; 80,6902
499,14; 80,1051
500,45; 81,0894
501,76; 81,1246
503,06; 80,0976
504,37; 80,7542
505,68; 81,436
506,98; 80,4279
508,29; 80,3383
509,6; 81,3034
510,9; 81,0709
512,21; 80,2356
513,51; 80,6807
514,82; 81,5218
516,12; 80,5123
517,42; 80,1334
518,73; 81,0951
520,03; 81,3234
521,34; 80,1348
522,64; 80,1601
523,94; 81,3049
525,25; 81,0171
526,55; 79,7862
527,85; 80,3874
529,15; 81,4068
530,46; 80,6949
531,76; 79,8367
533,06; 80,712
534,36; 81,6283
535,66; 80,5364
536,96; 79,7047
538,26; 80,653
539,56; 81,6177
540,87; 80,494
542,17; 79,5796
543,47; 80,8135
544,76; 81,5981
546,06; 80,4217
547,36; 79,6673
548,66; 80,7498
549,96; 81,7038
551,26; 80,5302
552,56; 79,6213
553,86; 80,4587
555,15; 81,6163
556,45; 80,8333
557,75; 79,7441
559,05; 80,0671
560,34; 81,5148
561,64; 81,3399
562,94; 79,9516
564,23; 79,8187
565,53; 81,2564
566,82; 81,6877
568,12; 80,5399
569,41; 79,7145
570,71; 80,6121
572; 81,8101
573,3; 81,2001
574,59; 79,8433
575,89; 79,8919
577,18; 81,3209
578,47; 81,942
579,77; 80,7518
581,06; 79,6492
582,35; 80,4479
583,65; 81,8819
584,94; 81,79
586,23; 80,3321
587,52; 79,8635
588,82; 81,0885
590,11; 82,2329
591,4; 81,5438
592,69; 80,0587
593,98; 80,0499
595,27; 81,4892
596,56; 82,383
597,85; 81,4108
599,14; 79,9308
600,43; 80,1602
601,72; 81,6554
603,01; 82,4058
604,3; 81,3341
605,59; 79,8391
606,88; 79,9734
608,16; 81,4592
609,45; 82,3818
610,74; 81,4778
612,03; 79,9855
613,32; 79,8076
614,6; 81,1907
615,89; 82,3656
617,18; 81,7679
618,46; 80,1488
619,75; 79,6323
621,04; 80,6924
622,32; 82,2294
623,61; 82,1306
624,89; 80,7579
626,18; 79,7139
627,46; 80,2643
628,75; 81,6652
630,03; 82,5312
631,32; 81,5624
632,6; 79,9966
633,88; 79,6323
635,17; 80,9037
636,45; 82,3197
637,73; 82,2629
639,02; 80,8356
640,3; 79,6467
641,58; 79,8723
642,86; 81,4188
644,15; 82,5775
645,43; 82,0776
646,71; 80,4429
647,99; 79,5211
649,27; 80,065
650,55; 81,6486
651,83; 82,6336
653,11; 81,8682
654,39; 80,2317
655,67; 79,4148
656,95; 80,0728
658,23; 81,7076
659,51; 82,5751
660,79; 81,8964
662,07; 80,3393
663,35; 79,3229
664,63; 79,7978
665,91; 81,4421
667,18; 82,5147
668,46; 82,1553
669,74; 80,6256
671,02; 79,3781
672,29; 79,6434
673,57; 81,0074
674,85; 82,3862
676,12; 82,4226
677,4; 81,0772
678,67; 79,7139
679,95; 79,2641
681,22; 80,3462
682,5; 81,9917
683,77; 82,7205
685,05; 81,9392
686,32; 80,4728
687,6; 79,2189
688,87; 79,6053
690,15; 81,0706
691,42; 82,3367
