"Wavelength (nm)"; "Transmittance (%)"
395,13; 82,7163
396,46; 82,6945
397,79; 83,7511
399,11; 83,384
400,44; 83,9653
401,76; 84,4489
403,08; 83,8697
404,41; 83,1709
405,73; 84,1251
407,06; 83,9119
408,38; 83,6843
409,7; 83,3697
411,03; 83,4033
412,35; 83,7689
413,67; 84,2412
414,99; 84,1712
416,31; 84,1887
417,64; 83,8988
418,96; 83,306
420,28; 83,3291
421,6; 83,8601
422,92; 83,9298
424,24; 84,1002
425,56; 83,3776
426,88; 84,081
428,2; 83,9496
429,52; 83,9425
430,84; 83,7112
432,16; 83,9557
433,48; 84,165
434,8; 83,5612
436,12; 84,2125
437,44; 84,089
438,75; 83,9427
440,07; 83,8656
441,39; 84,0079
442,71; 84,1845
444,02; 83,9723
445,34; 84,1381
446,66; 84,2262
447,98; 83,828
449,29; 83,8619
450,61; 84,3992
451,92; 83,5831
453,24; 84,2601
454,55; 84,0592
455,87; 83,8808
457,18; 84,4277
458,5; 84,0473
459,81; 83,8573
461,13; 84,4209
462,44; 83,9196
463,76; 84,2119
465,07; 84,0899
466,38; 83,646
467,7; 84,392
469,01; 84,3471
470,32; 83,8579
471,63; 84,176
472,95; 84,1318
474,26; 83,7339
475,57; 84,4266
476,88; 84,3461
478,19; 83,8431
479,5; 84,2929
480,81; 84,0905
482,13; 83,6332
483,44; 84,4584
484,75; 84,1771
486,06; 83,5183
487,37; 84,231
488,67; 84,3764
489,98; 83,4585
491,29; 83,8163
492,6; 84,105
493,91; 83,34
495,22; 83,7119
496,53; 84,5343
497,83; 83,8946
499,14; 83,6859
500,45; 84,4218
501,76; 83,8314
503,06; 83,2058
504,37; 84,1138
505,68; 84,3867
506,98; 83,2463
508,29; 83,6332
509,6; 84,3433
510,9; 83,7638
512,21; 83,4513
513,51; 84,2489
514,82; 84,1629
516,12; 83,1676
517,42; 83,4843
518,73; 84,5896
520,03; 83,9889
521,34; 83,2511
522,64; 84,1165
523,94; 84,3584
525,25; 83,3384
526,55; 83,1498
527,85; 84,3658
529,15; 84,3584
530,46; 83,1723
531,76; 83,5302
533,06; 84,5271
534,36; 83,9053
535,66; 82,8656
536,96; 83,6333
538,26; 84,6255
539,56; 83,8672
540,87; 83,1352
542,17; 83,7917
543,47; 84,6132
544,76; 83,6704
546,06; 82,9758
547,36; 83,7628
548,66; 84,4564
549,96; 83,9327
551,26; 82,6542
552,56; 83,543
553,86; 84,6098
555,15; 83,7648
556,45; 82,7373
557,75; 83,5153
559,05; 84,4265
560,34; 84,1013
561,64; 82,7288
562,94; 83,2432
564,23; 84,3526
565,53; 84,553
566,82; 83,0349
568,12; 82,8114
569,41; 84,0875
570,71; 84,7645
572; 83,7191
573,3; 82,77
574,59; 83,693
575,89; 85,0103
577,18; 84,5043
578,47; 83,1664
579,77; 83,3189
581,06; 84,4183
582,35; 85,0039
583,65; 83,8942
584,94; 83,0166
586,23; 83,723
587,52; 85,1346
588,82; 84,9665
590,11; 83,5066
591,4; 83,0575
592,69; 84,1982
593,98; 85,3859
595,27; 84,5887
596,56; 83,2255
597,85; 83,32
599,14; 84,5406
600,43; 85,3435
601,72; 84,4857
603,01; 83,104
604,3; 83,3307
605,59; 84,5984
606,88; 85,3968
608,16; 84,3994
609,45; 83,0423
610,74; 83,273
612,03; 84,6244
613,32; 85,3387
614,6; 84,4539
615,89; 82,8281
617,18; 82,8985
618,46; 84,5965
619,75; 85,5126
621,04; 84,6233
622,32; 83,2257
623,61; 82,6087
624,89; 83,7522
626,18; 85,0803
627,46; 85,0757
628,75; 83,5028
630,03; 82,9792
631,32; 83,4892
632,6; 85,0537
633,88; 85,6454
635,17; 84,4094
636,45; 82,8946
637,73; 82,7324
639,02; 84,1275
640,3; 85,2763
641,58; 85,1996
642,86; 83,9487
644,15; 82,8602
645,43; 83,3676
646,71; 84,6059
647,99; 85,4826
649,27; 84,9538
650,55; 83,4197
651,83; 82,7333
653,11; 83,6053
654,39; 85,067
655,67; 85,5523
656,95; 84,5554
658,23; 83,3441
659,51; 82,8405
660,79; 83,4748
662,07; 85,126
663,35; 85,5718
664,63; 84,4831
665,91; 83,013
667,18; 82,6067
668,46; 83,4787
669,74; 84,9295
671,02; 85,6757
672,29; 85,0218
673,57; 83,636
674,85; 82,7543
676,12; 82,8825
677,4; 84,4969
678,67; 85,3132
679,95; 84,8724
681,22; 83,5046
682,5; 82,6334
683,77; 82,7606
685,05; 83,9242
686,32; 85,3354
687,6; 85,4747
688,87; 84,2886
690,15; 82,8507
691,42; 82,4219
692,69; 83,0942
693,97; 84,6184
695,24; 85,8734
